lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.9054077202510384,67
DE,bpe,8192,de,bpb,1.6354256686255233,67
DE,bpe,8192,de-p,bpb,1.5795680520488695,67
DE,bpe,8192,DE_lowest,bpb,1.5471818934013413,67
DE,bpe,8192,DE_highest,bpb,1.667811827273051,67
EN,bpe,32768,en,bpb,1.8603572796894299,67
DE,bpe,32768,de,bpb,1.6532512714200602,67
DE,bpe,32768,de-p,bpb,1.567617903851568,67
DE,bpe,32768,DE_lowest,bpb,1.5467809389631655,67
DE,bpe,32768,DE_highest,bpb,1.6740882363084626,67
EN,bpe,49152,en,bpb,1.8329826654224615,67
DE,bpe,49152,de,bpb,1.6520264425705222,67
DE,bpe,49152,de-p,bpb,1.5845229630974584,67
DE,bpe,49152,DE_lowest,bpb,1.5534189582551143,67
DE,bpe,49152,DE_highest,bpb,1.6831304474128665,67
EN,bpe,65536,en,bpb,1.8632233130695615,67
DE,bpe,65536,de,bpb,1.652842668957667,67
DE,bpe,65536,de-p,bpb,1.5818458357312253,67
DE,bpe,65536,DE_lowest,bpb,1.5561502885706762,67
DE,bpe,65536,DE_highest,bpb,1.6785382161182159,67
EN,bpe,81920,en,bpb,1.8213588098794447,67
DE,bpe,81920,de,bpb,1.6585479167658348,67
DE,bpe,81920,de-p,bpb,1.5797560358660854,67
DE,bpe,81920,DE_lowest,bpb,1.5379759782398592,67
DE,bpe,81920,DE_highest,bpb,1.7003279743920612,67
EN,bpe,8192,en,cpb,1.9181392203786287,67
DE,bpe,8192,de,cpb,1.666938642044498,67
DE,bpe,8192,de-p,cpb,1.616666279421971,67
DE,bpe,8192,DE_lowest,cpb,1.581824112689641,67
DE,bpe,8192,DE_highest,cpb,1.7017808087768285,67
EN,bpe,32768,en,cpb,1.8733912939008923,67
DE,bpe,32768,de,cpb,1.6849255911599486,67
DE,bpe,32768,de-p,cpb,1.6042350325421109,67
DE,bpe,32768,DE_lowest,cpb,1.5814269967831502,67
DE,bpe,32768,DE_highest,cpb,1.7077336269189094,67
EN,bpe,49152,en,cpb,1.8452702157964218,67
DE,bpe,49152,de,cpb,1.6837411074152662,67
DE,bpe,49152,de-p,cpb,1.6212669128117057,67
DE,bpe,49152,DE_lowest,cpb,1.5876943146709772,67
DE,bpe,49152,DE_highest,cpb,1.7173137055559944,67
EN,bpe,65536,en,cpb,1.8763220696498504,67
DE,bpe,65536,de,cpb,1.6842072804386927,67
DE,bpe,65536,de-p,cpb,1.6183589352667043,67
DE,bpe,65536,DE_lowest,cpb,1.5903457369331442,67
DE,bpe,65536,DE_highest,cpb,1.7122204787722528,67
EN,bpe,81920,en,cpb,1.8335489250804113,67
DE,bpe,81920,de,cpb,1.690302493466556,67
DE,bpe,81920,de-p,cpb,1.6163305140428708,67
DE,bpe,81920,DE_lowest,cpb,1.5721182298284286,67
DE,bpe,81920,DE_highest,cpb,1.7345147776809977,67
EN,bpe,8192,en,ppl,106.78165502564555,67
DE,bpe,8192,de,ppl,67.023401712102,67
DE,bpe,8192,de-p,ppl,59.46825627718283,67
DE,bpe,8192,DE_lowest,ppl,53.15370338674666,67
DE,bpe,8192,DE_highest,ppl,74.9856468247077,67
EN,bpe,32768,en,ppl,208.70530102135706,67
DE,bpe,32768,de,ppl,197.79499892357506,67
DE,bpe,32768,de-p,ppl,161.44650449043388,67
DE,bpe,32768,DE_lowest,ppl,137.56358695561408,67
DE,bpe,32768,DE_highest,ppl,232.13491221484247,67
EN,bpe,49152,en,ppl,249.67149559100616,67
DE,bpe,49152,de,ppl,267.36648094223307,67
DE,bpe,49152,de-p,ppl,216.12577891935172,67
DE,bpe,49152,DE_lowest,ppl,183.19442042252803,67
DE,bpe,49152,DE_highest,ppl,315.42876042451894,67
EN,bpe,65536,en,ppl,304.2258889122969,67
DE,bpe,65536,de,ppl,303.08982592291727,67
DE,bpe,65536,de-p,ppl,249.4495254192892,67
DE,bpe,65536,DE_lowest,ppl,212.64381177027116,67
DE,bpe,65536,DE_highest,ppl,355.55049830261146,67
EN,bpe,81920,en,ppl,279.0258702650985,67
DE,bpe,81920,de,ppl,339.53965749444757,67
DE,bpe,81920,de-p,ppl,261.21173299973975,67
DE,bpe,81920,DE_lowest,ppl,216.19611632424926,67
DE,bpe,81920,DE_highest,ppl,410.2374448912095,67
EN,bpe,8192,en,sent-nll,198.95884017944337,67
DE,bpe,8192,de,sent-nll,214.44364318847656,67
DE,bpe,8192,de-p,sent-nll,206.9018081665039,67
DE,bpe,8192,DE_lowest,sent-nll,194.43044815063476,67
DE,bpe,8192,DE_highest,sent-nll,226.9150032043457,67
EN,bpe,32768,en,sent-nll,192.73034133911133,67
DE,bpe,32768,de,sent-nll,218.117928314209,67
DE,bpe,32768,de-p,sent-nll,205.49082260131837,67
DE,bpe,32768,DE_lowest,sent-nll,192.9567398071289,67
DE,bpe,32768,DE_highest,sent-nll,230.65201110839843,67
EN,bpe,49152,en,sent-nll,190.7777847290039,67
DE,bpe,49152,de,sent-nll,216.0349884033203,67
DE,bpe,49152,de-p,sent-nll,206.83222045898438,67
DE,bpe,49152,DE_lowest,sent-nll,195.1656280517578,67
DE,bpe,49152,DE_highest,sent-nll,227.7015808105469,67
EN,bpe,65536,en,sent-nll,192.9636001586914,67
DE,bpe,65536,de,sent-nll,215.72075653076172,67
DE,bpe,65536,de-p,sent-nll,206.7540382385254,67
DE,bpe,65536,DE_lowest,sent-nll,194.64901885986328,67
